Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
5.27802e+07,-0.165344,0.744871,-0.645861,-0.000107655,2.26859e-05,-3.0519e-05,0.0826721,3454.85
3.98725e+07,-0.165344,0.785649,-0.595878,-0.000151655,2.39838e-05,-1.70243e-05,0.0826719,3454.85
4.42287e+07,-0.165342,0.674109,-0.719466,-0.000121289,1.78987e-05,-3.1385e-05,0.082671,3454.85
5.74182e+07,-0.165337,0.893003,-0.417806,-0.000111097,3.2286e-05,-1.60429e-05,0.0826687,3454.85
5.12926e+07,-0.165337,0.964604,-0.205343,-0.000136551,3.28106e-05,-2.15015e-06,0.0826684,3454.85
4.64124e+07,-0.165337,0.898124,-0.402632,-0.00013689,3.01146e-05,-1.11467e-05,0.0826684,3454.85
5.69012e+07,-0.165336,0.923895,-0.342982,-0.00011581,3.4189e-05,-9.85804e-06,0.0826678,3454.85
1.94063e+08,-0.165335,0.295912,-0.939025,-3.95824e-05,4.90124e-06,-6.03813e-05,0.0826677,3454.85
5.05944e+07,-0.165334,0.775965,-0.606731,-0.000120202,2.6092e-05,-2.32463e-05,0.0826672,3454.85
4.94995e+07,-0.165334,0.954169,-0.244431,-0.000135369,3.20753e-05,-6.5112e-06,0.0826671,3454.85
3.94412e+07,-0.165332,0.772054,-0.613513,-0.000152573,2.3041e-05,-1.80357e-05,0.0826662,3454.85
6.04888e+07,-0.165332,0.692293,-0.701028,-8.72108e-05,1.83706e-05,-3.91371e-05,0.0826658,3454.85
5.16546e+07,-0.16533,0.869741,-0.462957,-0.00012509,3.11614e-05,-1.35552e-05,0.0826648,3454.85
3.66595e+07,-0.165327,0.632592,-0.7566,-0.000142002,1.57414e-05,-2.72832e-05,0.0826633,3454.85
5.1647e+07,-0.165325,0.642326,-0.743864,-0.000105973,1.93149e-05,-3.45832e-05,0.0826624,3454.85
3.81984e+07,-0.165324,0.639412,-0.750251,-0.000151587,1.70518e-05,-2.43202e-05,0.082662,3454.85
3.91694e+07,-0.165323,0.646362,-0.744853,-0.0001467,1.96561e-05,-2.30113e-05,0.0826616,3454.85
4.89854e+07,-0.165323,0.867608,-0.46565,-0.000127843,3.06124e-05,-1.32216e-05,0.0826614,3454.85
3.80426e+07,-0.165319,0.495494,-0.850413,-0.000134038,1.17311e-05,-3.15526e-05,0.0826597,3454.85
6.68088e+07,-0.165318,0.933519,-0.314609,-0.000102182,3.68248e-05,-8.82859e-06,0.082659,3454.85
