delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-88.6076,272.538,36.5882,-0.315456,0.876599,-0.363403,-88,32,-55.5156,0.157728,2700.16,3454.85,2920.67,3454.85,3989.02,3543.45
-145.065,299.422,37.1604,-0.139854,0.913951,-0.380965,-80,32,-60.8005,0.069927,2388.54,3454.85,2867.98,3454.85,4041.71,3599.91
-240.402,300.031,37.9317,-0.0112816,0.921182,-0.388968,-72,32,-62.2559,0.00564079,2253.96,3454.85,2866.79,3454.85,4042.91,3695.25
-173.834,288.998,22.4445,-0.936499,0.295044,-0.189524,-111.74,0,-54.6875,0.468249,3016.6,3454.85,2888.41,3454.85,4021.28,3628.68
-174.949,286.872,22.5698,-0.932303,0.297218,-0.206088,-112,0,-53.9653,0.466152,3054.58,3454.85,2892.58,3454.85,4017.12,3629.8
-188.827,280.191,26.6853,-0.940116,0.271,-0.20674,-109.621,8,-54.6875,0.470058,3004.43,3454.85,2905.67,3454.85,4004.02,3643.67
-206.987,259.152,27.4846,-0.8928,0.266119,-0.36344,-112,8,-47.2901,0.4464,3391.11,3454.85,2946.91,3454.85,3962.78,3661.83
-147.231,272.235,29.0992,-0.879104,0.411128,-0.241144,-106.872,16,-54.6875,0.439552,2957.39,3454.85,2921.26,3454.85,3988.43,3602.08
-109.315,269.689,29.8203,-0.784642,0.563719,-0.257989,-104,20.6453,-54.6875,0.392321,2912.44,3454.85,2926.26,3454.85,3983.44,3564.16
-90.7667,266.957,31.0139,-0.683348,0.675736,-0.276436,-101.404,24,-54.6875,0.341674,2876.36,3454.85,2931.61,3454.85,3978.08,3545.61
-99.3295,254.591,30.7381,-0.72401,0.604746,-0.331801,-104,24,-48.7696,0.362005,3192.31,3454.85,2955.85,3454.85,3953.84,3554.18
-72.7562,269.041,33.2579,-0.517316,0.796038,-0.314177,-96,28.1787,-54.6875,0.258658,2814.68,3454.85,2927.53,3454.85,3982.17,3527.6
-87.7352,268.011,36.3712,-0.331256,0.87007,-0.365032,-88.689,32,-54.6875,0.165628,2743.79,3454.85,2929.55,3454.85,3980.15,3542.58
-88.7985,268.632,36.5372,-0.318947,0.872484,-0.370195,-88,32.2912,-54.6875,0.159474,2737.1,3454.85,2928.33,3454.85,3981.37,3543.64
-143.741,276.495,36.2087,-0.166233,0.889253,-0.42614,-80,34.3802,-54.6875,0.0831166,2668.17,3454.85,2912.92,3454.85,3996.78,3598.59
-239.171,284.509,35.7988,-0.0270248,0.88961,-0.455921,-72,35.1525,-54.6875,0.0135124,2607.46,3454.85,2897.21,3454.85,4012.48,3694.02
-122.175,269.621,37.1921,-0.0697793,0.798139,-0.598419,-72,40,-47.8248,0.0348896,2913,3454.85,2926.39,3454.85,3983.3,3577.02
-190.22,267.684,23.6898,-0.86529,0.294654,-0.405528,-114.388,0,-46.875,0.432645,3415.19,3454.85,2930.19,3454.85,3979.51,3645.07
-208.003,258.145,27.4934,-0.888645,0.265002,-0.374278,-112.135,8,-46.875,0.444322,3412.1,3454.85,2948.88,3454.85,3960.81,3662.85
-206.236,257.93,27.5647,-0.887965,0.268684,-0.373265,-112,8.38363,-46.875,0.443982,3410.14,3454.85,2949.3,3454.85,3960.39,3661.08
-170.276,255.593,29.0768,-0.852213,0.365401,-0.374453,-109.437,16,-46.875,0.426107,3366.53,3454.85,2953.88,3454.85,3955.81,3625.12
-151.434,244.411,28.9609,-0.807113,0.347551,-0.47726,-112,16,-41.9922,0.403556,3613.08,3454.85,2975.8,3454.85,3933.89,3606.28
-102.43,251.367,30.2839,-0.728854,0.582823,-0.359289,-104.794,24,-46.875,0.364427,3289.33,3454.85,2962.17,3454.85,3947.53,3557.28
-94.2637,251.381,30.579,-0.709483,0.605843,-0.359983,-104,24.8588,-46.875,0.354741,3278.47,3454.85,2962.14,3454.85,3947.55,3549.11
-46.1793,248.534,34.1832,-0.501783,0.766102,-0.401623,-96,31.8863,-46.875,0.250892,3180.4,3454.85,2967.72,3454.85,3941.97,3501.03
-46.0614,248.45,34.2367,-0.49749,0.768136,-0.403077,-95.8259,32,-46.875,0.248745,3178.57,3454.85,2967.88,3454.85,3941.81,3500.91
-44.531,248.218,34.2093,-0.50136,0.766122,-0.402114,-96,32,-46.68,0.25068,3189.57,3454.85,2968.34,3454.85,3941.35,3499.38
-35.5671,257.228,36.1776,-0.34981,0.808197,-0.473761,-88,36.1177,-46.875,0.174905,3095.59,3454.85,2950.68,3454.85,3959.01,3490.41
-50.7794,263.792,37.9156,-0.221044,0.812791,-0.53899,-80,39.0667,-46.875,0.110522,3018.23,3454.85,2937.81,3454.85,3971.88,3505.63
57.976,249.963,36.6604,-0.380406,0.803972,-0.457078,-88,40,-40.692,0.190203,3361.07,3454.85,2964.92,3454.85,3944.77,3396.87
-80.4902,265.517,37.7675,-0.141427,0.801678,-0.580784,-75.5335,40,-46.875,0.0707135,2980.43,3454.85,2934.43,3454.85,3975.26,3535.34
-24.7196,260.936,38.3689,-0.234642,0.8127,-0.533349,-80,40,-45.6143,0.117321,3073.76,3454.85,2943.41,3454.85,3966.28,3479.57
-104.334,268.589,37.6092,-0.0778239,0.794455,-0.602316,-72,40.6309,-46.875,0.0389119,2950.93,3454.85,2928.41,3454.85,3981.28,3559.18
30.4392,249.074,27.4255,-0.470116,0.245821,-0.847681,-128,0,-33.15,0.235058,3917.87,3454.85,2966.66,3454.85,3943.03,3424.41
-125.967,247.342,24.4342,-0.690275,0.297075,-0.659747,-119.654,0,-39.0625,0.345138,3769.33,3454.85,2970.06,3454.85,3939.64,3580.81
-119.448,247.164,24.5077,-0.678958,0.297873,-0.671035,-120,0,-38.7373,0.339479,3780.87,3454.85,2970.4,3454.85,3939.29,3574.29
-162.153,237.297,27.2242,-0.737871,0.251854,-0.626191,-116.849,8,-39.0625,0.368936,3782.33,3454.85,2989.74,3454.85,3919.95,3617
-104.955,234.721,27.4999,-0.631133,0.255324,-0.732448,-120,8,-35.9574,0.315567,3893.93,3454.85,2994.79,3454.85,3914.9,3559.8
-132.454,239.93,28.4482,-0.752532,0.330972,-0.569344,-113.907,16,-39.0625,0.376266,3747.38,3454.85,2984.58,3454.85,3925.11,3587.3
-28.7257,237.371,27.9089,-0.555071,0.317799,-0.7687,-120,16,-33.0575,0.277536,3959.39,3454.85,2989.6,3454.85,3920.09,3483.57
-108.88,241.063,28.1404,-0.745903,0.399677,-0.53281,-112,19.2673,-39.0625,0.372952,3721.91,3454.85,2982.36,3454.85,3927.33,3563.73
-73.1758,243.34,28.3021,-0.702395,0.513006,-0.493422,-109.29,24,-39.0625,0.351198,3679.87,3454.85,2977.9,3454.85,3931.79,3528.02
-36.396,241.479,27.5263,-0.648935,0.501536,-0.572141,-112,24,-35.4021,0.324467,3838.87,3454.85,2981.55,3454.85,3928.15,3491.24
-19.0401,242.912,29.6843,-0.626956,0.641052,-0.442694,-104,29.8179,-39.0625,0.313478,3612.16,3454.85,2978.74,3454.85,3930.95,3473.89
-1.14375,242.484,30.3811,-0.581757,0.686115,-0.436812,-101.761,32,-39.0625,0.290879,3584.04,3454.85,2979.58,3454.85,3930.11,3455.99
21.7656,241.525,29.3258,-0.581712,0.670986,-0.45977,-104,32,-35.7911,0.290856,3741.7,3454.85,2981.46,3454.85,3928.23,3433.08
45.2059,245.772,32.7399,-0.495588,0.74931,-0.439235,-96,36.3507,-39.0625,0.247794,3513.08,3454.85,2973.13,3454.85,3936.56,3409.64
77.5608,247.251,35.3887,-0.40702,0.79435,-0.450936,-90.0339,40,-39.0625,0.20351,3444.62,3454.85,2970.23,3454.85,3939.46,3377.29
131.481,242.505,31.1979,-0.462976,0.784035,-0.413451,-96,40,-32.176,0.231488,3791.87,3454.85,2979.54,3454.85,3930.16,3323.36
86.1253,247.807,36.2674,-0.379144,0.8096,-0.448104,-88,40.9952,-39.0625,0.189572,3423.19,3454.85,2969.14,3454.85,3940.55,3368.72
91.4093,253.168,38.7619,-0.257928,0.850423,-0.458535,-80,43.9811,-39.0625,0.128964,3346.89,3454.85,2958.64,3454.85,3951.06,3363.44
69.8964,258.734,41.4265,-0.155438,0.871078,-0.465899,-72,45.938,-39.0625,0.0777192,3279.01,3454.85,2947.73,3454.85,3961.96,3384.95
26.5225,262.916,43.2541,-0.0564168,0.875,-0.480824,-64,47.0739,-39.0625,0.0282084,3213.47,3454.85,2939.53,3454.85,3970.16,3428.32
129.26,256.07,43.2418,-0.175708,0.920604,-0.348733,-72,48,-34.4941,0.0878538,3502.52,3454.85,2952.95,3454.85,3956.74,3325.59
57.9008,261.177,44.1725,-0.0696446,0.901584,-0.426961,-64,48,-37.363,0.0348223,3298.51,3454.85,2942.94,3454.85,3966.75,3396.95
321.377,269.326,29.3442,-0.434071,0.0972691,-0.895612,-144,0,-25.6969,0.217035,3891.01,3454.85,2926.97,3454.85,3982.72,3133.47
97.2232,252.034,28.7162,-0.422181,0.202795,-0.883537,-131.665,0,-31.25,0.211091,3935.5,3454.85,2960.86,3454.85,3948.83,3357.62
181.1,258.246,29.6041,-0.407295,0.170431,-0.897253,-136,0,-29.3167,0.203648,3924.82,3454.85,2948.68,3454.85,3961.01,3273.75
46.8457,236.834,29.596,-0.41098,0.220876,-0.884483,-128,7.2429,-31.25,0.20549,3979.33,3454.85,2990.65,3454.85,3919.04,3408
342.893,253.121,29.6281,-0.379544,0.164734,-0.91039,-144,8,-24.9095,0.189772,3892.84,3454.85,2958.73,3454.85,3950.96,3111.95
202.436,245.68,30.6342,-0.351202,0.186299,-0.917578,-136,8,-27.9204,0.175601,3949.98,3454.85,2973.31,3454.85,3936.38,3252.41
41.4094,235.491,29.6987,-0.41413,0.221122,-0.88295,-127.644,8,-31.25,0.207065,3983.6,3454.85,2993.28,3454.85,3916.41,3413.44
48.8725,235.807,29.7803,-0.407542,0.220675,-0.886122,-128,8,-31.0785,0.203771,3983.78,3454.85,2992.66,3454.85,3917.03,3405.97
272.318,252.354,28.7873,-0.343372,0.314672,-0.884916,-136,16,-25.902,0.171686,3948.24,3454.85,2960.23,3454.85,3949.46,3182.53
27.2844,239.252,28.2627,-0.471296,0.306018,-0.827184,-123.074,16,-31.25,0.235648,3991.39,3454.85,2985.91,3454.85,3923.78,3427.56
124.776,244.408,28.6726,-0.375378,0.298271,-0.877568,-128,16,-28.8786,0.187689,3995.36,3454.85,2975.81,3454.85,3933.89,3330.07
27.7356,240.121,27.0829,-0.499825,0.379326,-0.778644,-120,19.5694,-31.25,0.249913,3988.73,3454.85,2984.21,3454.85,3925.48,3427.11
