Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),temperature
6.65558e+07,-0.406162,0.725217,-0.544346,-6.57074e-05,2.24308e-05,-5.31697e-06,0.203081,3454.85
7.08179e+07,-0.392763,0.770547,-0.498739,-6.2774e-05,2.41459e-05,-5.20833e-06,0.196382,3454.85
7.45834e+07,-0.34446,0.685583,-0.631654,-5.98407e-05,2.4061e-05,-7.02798e-06,0.17223,3454.85
7.92804e+07,-0.356019,0.76275,-0.525591,-5.46237e-05,2.79324e-05,-5.56664e-06,0.17801,3454.85
7.72703e+07,-0.345569,0.729244,-0.588232,-5.69073e-05,2.68542e-05,-5.56664e-06,0.172785,3454.85
7.70955e+07,-0.376975,0.786645,-0.483656,-5.75571e-05,2.68542e-05,-5.20833e-06,0.188488,3454.85
8.04242e+07,-0.297743,0.669072,-0.677781,-5.39739e-05,2.54456e-05,-8.17081e-06,0.148871,3454.85
7.80633e+07,-0.318699,0.692967,-0.635846,-5.69073e-05,2.43675e-05,-7.8125e-06,0.15935,3454.85
7.99074e+07,-0.296633,0.625411,-0.721203,-5.69073e-05,2.26524e-05,-9.63214e-06,0.148317,3454.85
7.92952e+07,-0.293464,0.584423,-0.754303,-5.76193e-05,2.23459e-05,-9.63214e-06,0.146732,3454.85
7.94873e+07,-0.332182,0.763593,-0.54375,-5.39739e-05,2.8201e-05,-5.56664e-06,0.166091,3454.85
7.9325e+07,-0.363588,0.820994,-0.439174,-5.46237e-05,2.8201e-05,-5.20833e-06,0.181794,3454.85
7.60176e+07,-0.409014,0.7944,-0.429528,-5.98407e-05,2.669e-05,-2.60417e-06,0.204507,3454.85
7.18481e+07,-0.435252,0.811808,-0.38197,-6.2774e-05,2.50598e-05,-2.60417e-06,0.217626,3454.85
6.67583e+07,-0.441339,0.812037,-0.372144,-6.57074e-05,2.3431e-05,-2.60417e-06,0.220669,3454.85
7.29221e+07,-0.457589,0.835889,-0.302933,-6.2774e-05,2.59751e-05,0,0.228794,3454.85
7.80766e+07,-0.419464,0.827906,-0.366887,-5.75571e-05,2.77681e-05,-2.60417e-06,0.209732,3454.85
7.83475e+07,-0.446209,0.833396,-0.325799,-5.95583e-05,2.77681e-05,0,0.223105,3454.85
7.84189e+07,-0.41417,0.825642,-0.379927,-5.72747e-05,2.79324e-05,-2.60417e-06,0.207085,3454.85
7.90405e+07,-0.386713,0.841349,-0.374075,-5.46237e-05,2.92108e-05,-2.60417e-06,0.193357,3454.85
7.9334e+07,-0.413459,0.846839,-0.332987,-5.6625e-05,2.92108e-05,0,0.206729,3454.85
7.92591e+07,-0.362876,0.842192,-0.392234,-5.39739e-05,2.94794e-05,-2.60417e-06,0.181438,3454.85
7.81299e+07,-0.16561,0.0853548,-0.982043,-5.64456e-05,2.79324e-06,-1.59005e-05,0.0828051,3454.85
8.10975e+07,-0.151552,0.0839522,-0.984409,-5.39739e-05,2.79324e-06,-1.63376e-05,0.0757759,3454.85
7.78593e+07,-0.160293,0.0556403,-0.985396,-5.64456e-05,0,-1.6062e-05,0.0801464,3454.85
7.629e+07,-0.171643,0.0891669,-0.980583,-5.79969e-05,2.79324e-06,-1.5625e-05,0.0858217,3454.85
7.95621e+07,-0.162902,0.117479,-0.979596,-5.55252e-05,5.58647e-06,-1.59005e-05,0.0814512,3454.85
8.18349e+07,-0.153437,0.138743,-0.978038,-5.39739e-05,7.12394e-06,-1.59005e-05,0.0767183,3454.85
7.99967e+07,-0.15947,0.142555,-0.976577,-5.55252e-05,7.12394e-06,-1.5625e-05,0.0797349,3454.85
7.35196e+07,-0.191392,0.0809344,-0.977864,-5.98407e-05,2.79324e-06,-1.52988e-05,0.095696,3454.85
6.94127e+07,-0.212368,0.0589373,-0.975183,-6.2774e-05,0,-1.48345e-05,0.106184,3454.85
6.94375e+07,-0.211806,0.0833529,-0.973273,-6.2774e-05,2.79324e-06,-1.46734e-05,0.105903,3454.85
6.94773e+07,-0.222144,0.117501,-0.967286,-6.2774e-05,5.58647e-06,-1.4489e-05,0.111072,3454.85
6.5381e+07,-0.24312,0.0955038,-0.964605,-6.57074e-05,2.79324e-06,-1.40247e-05,0.12156,3454.85
7.42131e+07,-0.182591,0.0811964,-0.979492,-5.9379e-05,2.79324e-06,-1.53814e-05,0.0912953,3454.85
7.56484e+07,-0.179883,0.11332,-0.977045,-5.84586e-05,5.58647e-06,-1.53814e-05,0.0899414,3454.85
7.42126e+07,-0.183153,0.0567809,-0.981403,-5.9379e-05,0,-1.55425e-05,0.0915763,3454.85
7.36883e+07,-0.201086,0.171025,-0.962136,-5.98407e-05,8.37971e-06,-1.4649e-05,0.100543,3454.85
6.96626e+07,-0.2324,0.183176,-0.953468,-6.2774e-05,8.37971e-06,-1.40003e-05,0.1162,3454.85
7.00602e+07,-0.25168,0.271688,-0.927115,-6.2774e-05,1.11729e-05,-1.3406e-05,0.12584,3454.85
6.56107e+07,-0.272738,0.218164,-0.932265,-6.57074e-05,8.37971e-06,-1.32461e-05,0.136369,3454.85
8.01503e+07,-0.162413,0.161253,-0.972599,-5.55252e-05,8.37971e-06,-1.54277e-05,0.0812063,3454.85
8.25287e+07,-0.152947,0.182517,-0.971041,-5.39739e-05,9.91717e-06,-1.54277e-05,0.0764734,3454.85
7.80884e+07,-0.17336,0.153282,-0.971508,-5.69073e-05,8.37971e-06,-1.5184e-05,0.0866798,3454.85
7.83922e+07,-0.183616,0.218958,-0.957691,-5.69073e-05,1.11729e-05,-1.46953e-05,0.091808,3454.85
8.39757e+07,-0.130898,0.0688773,-0.98879,-4.81072e-05,2.79324e-06,-1.71223e-05,0.0654489,3454.85
8.22882e+07,-0.137326,0.0514602,-0.989143,-5.10406e-05,0,-1.68793e-05,0.068663,3454.85
8.25178e+07,-0.139806,0.0716549,-0.987408,-5.10406e-05,2.79324e-06,-1.6742e-05,0.0699031,3454.85
8.28241e+07,-0.145124,0.101369,-0.984056,-5.10406e-05,5.58647e-06,-1.65806e-05,0.0725618,3454.85
8.42526e+07,-0.145745,0.178991,-0.972866,-5.10406e-05,9.91717e-06,-1.5845e-05,0.0728723,3454.85
8.35345e+07,-0.142059,0.189678,-0.97113,-5.25402e-05,9.91717e-06,-1.5625e-05,0.0710293,3454.85
8.5494e+07,-0.137799,0.204849,-0.968978,-4.96068e-05,1.11729e-05,-1.5845e-05,0.0688996,3454.85
8.3718e+07,-0.149177,0.153914,-0.975885,-5.10406e-05,8.37971e-06,-1.61206e-05,0.0745886,3454.85
8.5123e+07,-0.137432,0.141617,-0.978884,-4.81072e-05,8.37971e-06,-1.6525e-05,0.0687158,3454.85
8.37763e+07,-0.145001,0.208376,-0.967153,-5.25402e-05,1.11729e-05,-1.54277e-05,0.0725007,3454.85
7.12953e+07,-0.296299,0.392573,-0.870023,-6.2774e-05,1.65284e-05,-1.13556e-05,0.14815,3454.85
6.79021e+07,-0.325129,0.42557,-0.843474,-6.54423e-05,1.65284e-05,-1.04167e-05,0.162564,3454.85
7.17974e+07,-0.292687,0.430136,-0.852463,-6.25089e-05,1.67594e-05,-1.13556e-05,0.146343,3454.85
6.65174e+07,-0.31038,0.347341,-0.883473,-6.57074e-05,1.37352e-05,-1.15342e-05,0.15519,3454.85
7.06769e+07,-0.277938,0.351907,-0.892461,-6.2774e-05,1.39662e-05,-1.24732e-05,0.138969,3454.85
7.45072e+07,-0.2376,0.316919,-0.913665,-5.98407e-05,1.39662e-05,-1.32274e-05,0.1188,3454.85
8.31762e+07,-0.171508,0.275013,-0.942692,-5.39739e-05,1.39662e-05,-1.44645e-05,0.085754,3454.85
7.89212e+07,-0.199235,0.292756,-0.93332,-5.69073e-05,1.39662e-05,-1.39295e-05,0.0996173,3454.85
7.95816e+07,-0.225492,0.372975,-0.898666,-5.69073e-05,1.67594e-05,-1.29966e-05,0.112746,3454.85
7.56436e+07,-0.273141,0.449616,-0.848204,-5.98407e-05,1.83566e-05,-1.13556e-05,0.13657,3454.85
7.22515e+07,-0.30197,0.482614,-0.821656,-6.25089e-05,1.83566e-05,-1.04167e-05,0.150985,3454.85
8.06664e+07,-0.261777,0.494899,-0.828223,-5.69073e-05,2.11499e-05,-1.06416e-05,0.130889,3454.85
7.98012e+07,-0.273479,0.526456,-0.804495,-5.76193e-05,2.11499e-05,-1.04167e-05,0.136739,3454.85
8.02391e+07,-0.252494,0.442421,-0.85903,-5.69073e-05,1.95527e-05,-1.15805e-05,0.126247,3454.85
8.43173e+07,-0.214128,0.418258,-0.878685,-5.39739e-05,1.95527e-05,-1.22826e-05,0.107064,3454.85
8.65069e+07,-0.135658,0.225833,-0.964114,-4.81072e-05,1.1929e-05,-1.5845e-05,0.0678288,3454.85
8.57922e+07,-0.131972,0.23652,-0.962379,-4.96068e-05,1.1929e-05,-1.5625e-05,0.0659858,3454.85
8.61323e+07,-0.135364,0.247302,-0.958873,-4.96068e-05,1.39662e-05,-1.51215e-05,0.0676818,3454.85
8.71969e+07,-0.133222,0.268286,-0.95401,-4.81072e-05,1.47222e-05,-1.51215e-05,0.066611,3454.85
8.51522e+07,-0.146252,0.240141,-0.958784,-5.10406e-05,1.39662e-05,-1.49242e-05,0.0731259,3454.85
8.58195e+07,-0.16187,0.31394,-0.934413,-5.10406e-05,1.67594e-05,-1.41584e-05,0.0809351,3454.85
8.9646e+07,-0.159821,0.342756,-0.92283,-4.81072e-05,1.95527e-05,-1.34899e-05,0.0799107,3454.85
8.78044e+07,-0.185078,0.377628,-0.906738,-5.10406e-05,1.95527e-05,-1.30302e-05,0.0925388,3454.85
8.83679e+07,-0.212079,0.447074,-0.867102,-5.10406e-05,2.23459e-05,-1.16141e-05,0.10604,3454.85
6.73417e+07,-0.349448,0.44761,-0.819657,-6.57074e-05,1.65284e-05,-1.03034e-05,0.174724,3454.85
6.7848e+07,-0.345835,0.485173,-0.802097,-6.54423e-05,1.67594e-05,-1.03034e-05,0.172918,3454.85
