x,y,z,T_TCAM
-1.27E-06,4.18E-06,-9.85E-05,2294.709136
1.05E-05,5.67E-05,-7.58E-06,2294.507233
-1.69E-05,8.11E-06,-0.000116165,2293.817916
-1.56E-05,1.29E-05,-0.000112559,2290.964455
-1.41E-05,5.56E-06,-0.000115453,2290.921126
-3.51E-05,9.63E-06,-0.000118832,2290.347023
-2.07E-05,7.31E-21,-0.000119558,2290.073829
-2.00E-05,2.24E-05,-0.000106856,2290.071973
-5.74E-05,2.39E-05,-0.000108902,2289.18479
-9.65E-05,6.92E-05,-4.74E-05,2288.877555
-2.72E-05,3.60E-05,-9.21E-05,2288.268299
-1.02E-05,1.15E-05,-0.000108763,2288.185799
-0.000164453,6.68E-05,-3.97E-05,2287.916599
-1.96E-05,1.29E-06,-0.00011918,2287.186515
-1.80E-05,1.65E-05,-0.000111445,2286.548221
-0.000142678,7.23E-05,-3.52E-05,2286.103379
-5.80E-05,3.01E-05,-0.000104075,2284.242972
-1.50E-05,2.12E-05,-0.000104506,2283.192786
-4.79E-05,4.60E-05,-8.40E-05,2283.016434
-2.09E-05,2.52E-05,-0.000104255,2282.767036
-0.000188574,5.87E-05,-4.40E-05,2282.533175
-1.23E-05,7.63E-06,-0.000113236,2281.447354
4.21E-05,7.19E-06,-1.39E-05,2280.700744
-8.75E-06,2.04E-06,-0.000111262,2280.595531
-3.80E-05,4.02E-05,-9.08E-05,2280.4611
-2.53E-05,5.96E-05,-4.28E-05,2279.779234
-1.40E-05,7.31E-21,-0.000116432,2278.686177
-1.28E-05,1.70E-06,-0.000115498,2276.02308
-0.000102232,2.34E-05,-0.000100038,2275.002497
-8.80E-05,7.91E-05,-1.77E-05,2274.901465
-6.30E-05,1.23E-05,-0.000113876,2274.740834
-9.24E-06,1.57E-05,-0.000104244,2274.39186
-3.34E-05,2.54E-05,-0.000108747,2274.314615
-3.16E-05,9.94E-06,-0.000119017,2274.032373
-7.42E-05,7.99E-05,-9.33E-06,2273.923606
-0.000122565,8.10E-05,0,2272.285183
-0.000122565,8.10E-05,0,2272.285183
-0.000122565,8.10E-05,0,2272.285183
-0.000122565,8.10E-05,0,2272.285183
-4.17E-05,6.73E-06,-0.000119373,2271.878851
-5.24E-05,6.35E-05,-5.26E-05,2271.609649
4.57E-06,7.31E-21,-8.80E-05,2271.606275
-6.74E-05,5.63E-06,-0.000114326,2271.474728
8.86E-07,1.18E-05,-9.11E-05,2270.571472
-2.12E-05,4.31E-05,-7.48E-05,2270.225763
-3.37E-05,5.39E-06,-0.000120356,2270.215667
-8.94E-05,6.06E-05,-6.57E-05,2268.986916
-0.000257313,3.54E-05,0,2268.981691
-0.000257313,3.54E-05,0,2268.981691
-0.000257313,3.54E-05,0,2268.981691
-0.000257313,3.54E-05,0,2268.981691
-0.000257313,3.54E-05,0,2268.981691
-0.000174969,2.33E-05,-8.03E-05,2264.907132
-0.000154098,2.93E-05,-8.42E-05,2264.268788
-3.13E-05,7.36E-05,-8.25E-06,2264.123796
-0.000128615,1.41E-05,-9.67E-05,2262.884051
-2.72E-05,4.65E-05,-7.38E-05,2261.975247
-0.000114761,1.57E-05,-0.000100096,2261.867225
-0.000269166,1.77E-05,0,2260.810113
-0.000269166,1.77E-05,0,2260.810113
-0.000269166,1.77E-05,0,2260.810113
-0.000269166,1.77E-05,0,2260.810113
-0.000102129,4.68E-05,-8.35E-05,2260.701828
-1.03E-05,3.47E-05,-7.91E-05,2259.731018
-0.000108311,6.52E-05,-5.77E-05,2259.522107
-3.20E-05,1.60E-05,-0.0001163,2259.460131
-1.20E-05,1.92E-05,-0.000104386,2259.266382
-0.000137991,3.06E-05,-8.80E-05,2257.765096
-2.91E-05,9.60E-06,-0.000119252,2256.060817
-1.54E-05,1.70E-05,-0.000109701,2255.627816
-6.94E-05,1.64E-05,-0.000111435,2255.462372
1.83E-05,5.05E-05,-6.75E-06,2255.256108
-2.83E-05,5.76E-06,-0.000120423,2254.196758
-2.24E-05,3.60E-05,-9.02E-05,2253.623633
-0.000121939,7.31E-21,-0.00010066,2251.081673
-2.59E-05,2.22E-05,-0.000110599,2250.369674
-2.09E-05,2.79E-05,-0.000101687,2249.226247
-2.63E-05,7.65E-06,-0.000119812,2245.537627
-1.84E-05,1.05E-05,-0.000116379,2245.447808
-3.02E-05,7.31E-21,-0.00012129,2244.613208
-0.000221582,5.11E-05,-3.83E-05,2243.57156
-5.48E-06,1.99E-05,-9.50E-05,2243.27249
-0.000229672,3.81E-05,-4.69E-05,2243.063909
-2.35E-05,2.48E-05,-0.0001071,2242.28594
-7.68E-05,7.26E-06,-0.000112613,2242.048082
-5.07E-05,2.74E-05,-0.000108421,2241.767154
-2.72E-05,1.60E-05,-0.000115983,2238.616711
-0.000205138,4.77E-05,-5.19E-05,2237.271781
-4.14E-05,1.13E-05,-0.000118781,2236.524713
9.59E-07,2.23E-05,-8.10E-05,2236.305111
-0.000126424,6.36E-05,-6.07E-05,2236.189082
-0.000114597,5.26E-05,-7.64E-05,2235.215887
-2.67E-05,1.86E-05,-0.000114114,2235.150447
-2.26E-05,7.31E-21,-0.000120601,2234.801673
-5.87E-05,4.28E-05,-9.24E-05,2234.558027
-0.000235789,7.31E-21,-5.89E-05,2234.207964
-6.30E-05,7.31E-21,-0.00011673,2233.786413
-4.32E-05,5.03E-05,-7.73E-05,2233.486161
-1.58E-05,5.85E-06,-0.000117151,2231.343965
-0.000188693,4.44E-05,-6.54E-05,2230.972002
-1.80E-05,2.90E-05,-9.85E-05,2230.861512
-2.95E-05,1.61E-05,-0.000116507,2230.359118
-0.000272768,2.40E-20,-1.87E-05,2229.961915
-3.39E-05,7.31E-21,-0.00012143,2229.433844
-2.82E-05,4.14E-05,-8.57E-05,2229.37693
-6.37E-05,3.72E-05,-9.91E-05,2229.311619
-0.000251139,1.25E-05,-4.64E-05,2228.87495
-3.89E-05,5.37E-05,-6.93E-05,2228.862746
-3.29E-05,5.98E-05,-5.18E-05,2228.478444
-2.31E-05,2.15E-05,-0.000110578,2228.098898
-3.49E-05,4.61E-05,-8.15E-05,2226.942626
-3.34E-05,3.47E-05,-9.91E-05,2226.915183
-8.29E-05,7.32E-05,-4.14E-05,2226.890121
-9.24E-05,7.31E-21,-0.000109995,2226.51027
-5.35E-05,3.73E-05,-9.91E-05,2226.4398
-7.01E-05,7.60E-05,-3.24E-05,2226.022738
-2.16E-05,4.68E-05,-7.00E-05,2225.467614
-2.40E-05,9.71E-06,-0.000118994,2225.221512
-0.000175511,5.38E-05,-5.98E-05,2225.098225
-9.08E-05,5.40E-05,-7.80E-05,2224.796694
-0.000130319,7.76E-05,-3.07E-05,2224.267074
-2.08E-05,6.84E-06,-0.000119181,2223.914601
-3.56E-06,3.74E-06,-0.000104388,2222.739767
-1.54E-05,7.31E-21,-0.00011797,2222.514645
-6.52E-05,2.73E-05,-0.000107551,2221.221723
3.91E-06,5.59E-05,-2.13E-05,2220.864852
-0.000206888,7.31E-21,-7.57E-05,2220.599618
-2.25E-05,3.92E-05,-8.58E-05,2220.426216
-0.000193521,6.83E-05,-2.81E-05,2219.360692
-0.000162328,6.32E-05,-5.41E-05,2219.224448
-5.78E-06,6.60E-06,-0.000106897,2219.165714
-1.08E-05,3.79E-06,-0.000114054,2218.759522
-1.07E-05,2.82E-05,-9.21E-05,2218.205161
-4.68E-05,7.97E-05,0,2217.903321
-4.68E-05,7.97E-05,0,2217.903321
-4.68E-05,7.97E-05,0,2217.903321
-4.68E-05,7.97E-05,0,2217.903321
-4.68E-05,7.97E-05,0,2217.903321
-1.10E-05,4.23E-05,-6.72E-05,2217.825079
-1.19E-05,1.34E-05,-0.000110279,2217.038302
1.70E-05,7.31E-21,-6.22E-05,2216.765266
-0.000205744,3.52E-05,-6.67E-05,2216.728168
6.45E-06,6.33E-05,0,2216.393699
6.45E-06,6.33E-05,0,2216.393699
6.45E-06,6.33E-05,0,2216.393699
6.45E-06,6.33E-05,0,2216.393699
6.45E-06,6.33E-05,0,2216.393699
1.48E-05,5.18E-05,-1.43E-05,2216.233676
-5.20E-06,1.03E-05,-0.00010423,2215.464064
-2.41E-05,3.47E-05,-9.49E-05,2215.439437
-4.55E-05,7.43E-05,-2.51E-05,2214.138523
-2.66E-05,1.10E-05,-0.000119025,2213.953599
-3.22E-05,1.32E-05,-0.000118596,2212.84446
-1.62E-05,2.41E-05,-0.000103755,2212.50639
-5.07E-05,1.72E-05,-0.000115772,2212.204692
-1.81E-05,1.28E-05,-0.000115321,2211.479242
-0.000222325,1.25E-05,-6.55E-05,2211.161807
6.24E-06,1.85E-05,-7.55E-05,2211.045896
-1.69E-06,5.85E-05,-2.33E-05,2210.661508
-3.88E-05,7.31E-21,-0.000121439,2210.603557
-1.43E-05,1.92E-05,-0.000107622,2210.298885
-7.31E-06,4.72E-05,-5.31E-05,2209.868048
