delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
452.158,224.137,20.1496,-0.842208,-0.041263,-0.536025,-153.362,0.5,-7.32422,0.421104,4048.6,3454.85,3015.54,3454.85,3894.15,3002.69
449.731,222.493,20.4389,-0.842095,-0.0246498,-0.537117,-153.02,1.5,-7.92352,0.421048,4049.7,3454.85,3018.76,3454.85,3890.93,3005.11
424.44,220.535,21.5776,-0.842083,-0.00236662,-0.537427,-151.322,1.5,-10.4711,0.421042,4052.66,3454.85,3022.6,3454.85,3887.09,3030.41
445.705,221.727,20.7648,-0.842006,-0.0149385,-0.537115,-152.643,2,-8.42874,0.421003,4049.69,3454.85,3020.26,3454.85,3889.43,3009.14
441.527,220.748,21.1253,-0.841886,-0.005076,-0.537278,-152.257,2.5,-8.97013,0.420943,4049.41,3454.85,3022.18,3454.85,3887.51,3013.32
429.363,220.33,21.5062,-0.841758,-0.00046863,-0.537756,-151.548,2,-10.0939,0.420879,4051.32,3454.85,3023,3454.85,3886.69,3025.48
446.635,221.803,20.7029,-0.841677,-0.0156681,-0.537602,-152.708,2,-8.34267,0.420838,4049.44,3454.85,3020.11,3454.85,3889.58,3008.21
451.051,222.499,20.3627,-0.841585,-0.0256685,-0.537928,-153.112,1.5,-7.8125,0.420793,4049.19,3454.85,3018.75,3454.85,3890.94,3003.8
442.457,220.824,21.0633,-0.841556,-0.00580559,-0.537765,-152.322,2.5,-8.88406,0.420778,4049.16,3454.85,3022.03,3454.85,3887.66,3012.39
434.286,220.125,21.4348,-0.841432,0.00142936,-0.538085,-151.774,2.5,-9.71663,0.420716,4049.98,3454.85,3023.4,3454.85,3886.29,3020.56
447.566,221.878,20.6411,-0.841347,-0.0163977,-0.538089,-152.772,2,-8.2566,0.420673,4049.19,3454.85,3019.96,3454.85,3889.73,3007.28
406.15,220.829,21.8535,-0.841287,-0.00447364,-0.539194,-150.417,0,-12.0051,0.420644,4056.25,3454.85,3022.02,3454.85,3887.67,3048.7
443.388,220.899,21.0014,-0.841227,-0.00653519,-0.538251,-152.386,2.5,-8.79798,0.420613,4048.91,3454.85,3021.88,3454.85,3887.81,3011.46
439.21,219.92,21.3635,-0.841106,0.00332736,-0.538414,-152,3,-9.33937,0.420553,4048.64,3454.85,3023.8,3454.85,3885.89,3015.64
411.073,220.624,21.782,-0.840961,-0.00257565,-0.539523,-150.643,0.5,-11.6279,0.420481,4054.91,3454.85,3022.42,3454.85,3887.27,3043.77
444.318,220.975,20.9394,-0.840897,-0.00726479,-0.538738,-152.45,2.5,-8.71191,0.420448,4048.66,3454.85,3021.74,3454.85,3887.96,3010.53
448.885,221.885,20.5647,-0.840836,-0.0174165,-0.5389,-152.864,2,-8.14557,0.420418,4048.68,3454.85,3019.95,3454.85,3889.74,3005.96
440.14,219.996,21.3014,-0.840776,0.00259776,-0.538901,-152.064,3,-9.2533,0.420388,4048.39,3454.85,3023.65,3454.85,3886.04,3014.71
415.997,220.419,21.7106,-0.840636,-0.000677656,-0.539851,-150.87,1,-11.2506,0.420318,4053.57,3454.85,3022.82,3454.85,3886.87,3038.85
445.248,221.05,20.8775,-0.840567,-0.00799439,-0.539224,-152.515,2.5,-8.62584,0.420283,4048.41,3454.85,3021.59,3454.85,3888.1,3009.6
455.057,225.18,19.9103,-0.840551,-0.0516617,-0.537529,-153.64,0,-6.83594,0.420275,4045.98,3454.85,3013.49,3454.85,3896.2,2999.79
441.07,220.071,21.2393,-0.840447,0.00186816,-0.539387,-152.129,3,-9.16722,0.420223,4048.14,3454.85,3023.51,3454.85,3886.19,3013.78
450.204,221.892,20.4883,-0.840326,-0.0184352,-0.539712,-152.956,2,-8.03455,0.420163,4048.18,3454.85,3019.94,3454.85,3889.75,3004.64
420.92,220.214,21.6392,-0.84031,0.00122034,-0.54018,-151.096,1.5,-10.8734,0.420155,4052.23,3454.85,3023.23,3454.85,3886.47,3033.93
446.178,221.126,20.8156,-0.840237,-0.00872399,-0.539711,-152.579,2.5,-8.53976,0.420119,4048.17,3454.85,3021.44,3454.85,3888.25,3008.67
442,220.147,21.1773,-0.840117,0.00113856,-0.539874,-152.193,3,-9.08115,0.420058,4047.89,3454.85,3023.36,3454.85,3886.33,3012.85
425.843,220.01,21.5679,-0.839984,0.00311833,-0.540509,-151.322,2,-10.4961,0.419992,4050.89,3454.85,3023.63,3454.85,3886.06,3029
453.95,223.543,20.1208,-0.839928,-0.0360672,-0.539433,-153.39,1,-7.32422,0.419964,4046.57,3454.85,3016.7,3454.85,3892.99,3000.9
447.109,221.202,20.7537,-0.839907,-0.00945359,-0.540198,-152.643,2.5,-8.45369,0.419954,4047.92,3454.85,3021.29,3454.85,3888.4,3007.74
451.524,221.898,20.412,-0.839816,-0.019454,-0.540524,-153.047,2,-7.92352,0.419908,4047.67,3454.85,3019.93,3454.85,3889.77,3003.32
442.931,220.223,21.1153,-0.839787,0.000408961,-0.54036,-152.257,3,-8.99508,0.419893,4047.64,3454.85,3023.21,3454.85,3886.48,3011.92
