delta_T_pred,delta_T_std,Gradient_Magnitude,Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2,R (m/s),T_ET,T_pred,T_pred_lower_95,T_pred_unconstrained,T_pred_upper_95,T_warped_ET
-447.609,208.584,28.9866,-0.393746,0.613271,-0.684735,-88,24,-49.9376,0.196873,3162.29,3454.85,3046.02,3454.85,3863.67,3902.45
-543.665,215.804,33.6324,-0.431586,0.699514,-0.569574,-80,24.1613,-54.6875,0.215793,2842.46,3454.85,3031.87,3454.85,3877.82,3998.51
-539.237,217.105,39.8423,-0.385242,0.769519,-0.509341,-72,28.3583,-54.6875,0.192621,2729.9,3454.85,3029.32,3454.85,3880.37,3994.08
-519.565,211.022,48.464,-0.28921,0.828517,-0.479497,-64,31.9281,-54.6875,0.144605,2607.58,3454.85,3041.24,3454.85,3868.45,3974.41
-491.911,212.543,40.651,-0.32539,0.768821,-0.550487,-72,32,-49.3133,0.162695,3013.01,3454.85,3038.26,3454.85,3871.43,3946.76
-519.09,210.756,48.6596,-0.285093,0.829992,-0.479412,-63.79,32,-54.6875,0.142546,2604.22,3454.85,3041.76,3454.85,3867.93,3973.94
-519.016,210.795,48.5135,-0.288419,0.828255,-0.480425,-64,32,-54.5689,0.144209,2614.25,3454.85,3041.69,3454.85,3868,3973.86
-502.683,206.961,53.3947,-0.154543,0.867029,-0.473684,-56,34.167,-54.6875,0.0772715,2481.1,3454.85,3049.2,3454.85,3860.49,3957.53
-526.872,220.999,60.759,-0.00899354,0.880459,-0.474036,-48,34.8713,-54.6875,0.00449677,2366.22,3454.85,3021.69,3454.85,3888,3981.72
-193.263,212.291,23.0438,-0.52881,0.300868,-0.793623,-114.257,0,-46.875,0.264405,3416.25,3454.85,3038.76,3454.85,3870.94,3648.11
-91.422,207.269,23.7573,-0.552057,0.309406,-0.774275,-120,0,-42.5465,0.276028,3588.48,3454.85,3048.6,3454.85,3861.09,3546.27
-225.412,206.097,22.8616,-0.52034,0.31731,-0.792818,-112,4.71352,-46.875,0.26017,3421.98,3454.85,3050.9,3454.85,3858.8,3680.26
-82.5378,195.634,24.9676,-0.571725,0.323762,-0.753863,-120,8,-39.4419,0.285862,3722.19,3454.85,3071.4,3454.85,3838.29,3537.38
-271.899,197.549,22.6688,-0.503658,0.338263,-0.794926,-109.569,8,-46.875,0.251829,3430.1,3454.85,3067.65,3454.85,3842.04,3726.75
-221.721,200.132,22.9849,-0.517917,0.332558,-0.788142,-112,8,-45.6764,0.258958,3479.52,3454.85,3062.59,3454.85,3847.11,3676.57
-322.406,191.548,22.665,-0.449985,0.413064,-0.791765,-104,14.2887,-46.875,0.224992,3416.28,3454.85,3079.41,3454.85,3830.28,3777.25
-151.669,193.092,24.5526,-0.502709,0.422117,-0.754388,-112,16,-41.9645,0.251355,3614.58,3454.85,3076.39,3454.85,3833.31,3606.52
-330.653,192.472,23.2438,-0.45675,0.427561,-0.780109,-102.723,16,-46.875,0.228375,3408.49,3454.85,3077.6,3454.85,3832.09,3785.5
-305.879,191.415,22.9388,-0.446612,0.426778,-0.786383,-104,16,-46.1359,0.223306,3445.79,3454.85,3079.67,3454.85,3830.02,3760.72
