x,y,z,temp,G,R
93.0,7.376974,-48.0,3454.8464,66147385.45924722,0.024533702698942443
94.0,7.0,-47.98007,3454.8464,65587217.950226635,0.026849785926526343
95.0,7.0,-47.923977,3454.8464,65021939.05416716,0.029240339466101065
96.0,7.0,-47.86303,3454.8464,64458186.955127075,0.031640644444106365
97.0,7.0,-47.797188,3454.8464,63895973.06213042,0.03405094598371436
98.0,7.0,-47.72642,3454.8464,63335310.221914776,0.03647148809798926
99.0,7.0,-47.6507,3454.8464,62776212.68331146,0.03890251327729358
100.0,7.0,-47.56998,3454.8464,62218696.05846161,0.04134426208417334
101.0,7.0,-47.484238,3454.8464,61662777.28098817,0.043796972757333574
102.0,7.0,-47.393436,3454.8464,61108474.561266765,0.0462608808262966
103.0,7.0,-47.297535,3454.8464,60555807.3389427,0.04873621873830043
104.0,7.0,-47.196503,3454.8464,60004796.23283515,0.051223215498974385
105.0,7.0,-47.0903,3454.8464,59455462.988401674,0.05372209632814229
90.0,8.800864,-48.0,3454.8464,67830409.47966723,0.017701167740293854
91.88262,8.0,-48.0,3454.8464,66771806.07927479,0.021990220155025005
91.0,8.397532,-48.0,3454.8464,67266878.80892119,0.01998025387071397
92.0,8.0,-47.995014,3454.8464,66704834.920819364,0.022268039556253276
93.0,8.0,-47.94811,3454.8464,66136491.35248955,0.02464120442282929
94.0,8.0,-47.896393,3454.8464,65569667.0767778,0.02702361003448665
95.0,8.0,-47.83984,3454.8464,65004370.605139546,0.02941549983361804
96.0,8.0,-47.778416,3454.8464,64440611.93810985,0.031817116935346015
97.0,8.0,-47.71209,3454.8464,63878402.53634915,0.03422870370791552
98.0,8.0,-47.64083,3454.8464,63317755.28829846,0.03665050135738678
99.0,8.0,-47.5646,3454.8464,62758684.47455667,0.03908274951831841
100.0,8.0,-47.48337,3454.8464,62201205.72910532,0.04152568585206409
101.0,8.0,-47.397106,3454.8464,61645335.997504205,0.04397954565435391
102.0,8.0,-47.30577,3454.8464,61091093.492204234,0.04644456147369618
103.0,8.0,-47.209328,3454.8464,60538497.64511624,0.048920962742142624
104.0,8.0,-47.107742,3454.8464,59987569.05759163,0.05140897541992843
105.0,8.0,-47.00098,3454.8464,59438329.44796801,0.05390882165538553
85.0,9.982978,-48.0,3454.8464,70685735.3160603,0.006277832701644816
86.0,9.837976,-48.0,3454.8464,70109652.16637653,0.008566509683571427
87.0,9.648994,-48.0,3454.8464,69536072.27881795,0.01085309585176712
88.0,9.416362,-48.0,3454.8464,68965003.39629927,0.013137676729987842
89.44137,9.0,-48.0,3454.8464,68146764.06420201,0.016426685661289266
